Company Name,Glassdoor URL
CALERES INC,https://www.glassdoor.com/Overview/Working-at-Caleres-EI_IE1004830.11,18.htm
BRUNSWICK CORP,https://www.glassdoor.com/Reviews/atlanta-brunswick-corp-reviews-SRCH_IL.0,7_IM52_KE8,22.htm
MATERION CORP,https://www.glassdoor.com/Reviews/atlanta-materion-corp-reviews-SRCH_IL.0,7_IM52_KE8,21.htm
FORTRAN CORP,https://www.glassdoor.com/Reviews/atlanta-fortran-corp-reviews-SRCH_IL.0,7_IM52_KE8,20.htm
BURLINGTON NORTHERN SANTA FE,https://www.glassdoor.com/Reviews/atlanta-burlington-northern-santa-fe-reviews-SRCH_IL.0,7_IM52_KE8,36.htm
MASTEC INC,https://www.glassdoor.com/Reviews/atlanta-mastec-inc-reviews-SRCH_IL.0,7_IM52_KE8,18.htm
UNISYS CORP,https://www.glassdoor.com/Reviews/atlanta-unisys-corp-reviews-SRCH_IL.0,7_IM52_KE8,19.htm
BUTLER NATIONAL CORP,https://www.glassdoor.com/Reviews/atlanta-butler-national-corp-reviews-SRCH_IL.0,7_IM52_KE8,28.htm
CAE INC,https://www.glassdoor.com/Reviews/atlanta-cae-inc-reviews-SRCH_IL.0,7_IM52_KE8,15.htm
LIVERAMP HOLDINGS INC,https://www.glassdoor.com/Reviews/atlanta-liveramp-holdings-inc-reviews-SRCH_IL.0,7_IM52_KE8,29.htm
C-COR INC,https://www.glassdoor.com/Reviews/atlanta-c-cor-inc-reviews-SRCH_IL.0,7_IM52_KE8,17.htm
CDI CORP,https://www.glassdoor.com/Reviews/atlanta-cdi-corp-reviews-SRCH_IL.0,7_IM52_KE8,16.htm
CIGNA CORP,https://www.glassdoor.com/Reviews/atlanta-cigna-corp-reviews-SRCH_IL.0,7_IM52_KE8,18.htm
CPI CORP,https://www.glassdoor.com/Overview/Working-at-Picture-Me-Portrait-Studios-EI_IE313676.11,38.htm
CSS INDUSTRIES INC,https://www.glassdoor.com/Reviews/atlanta-css-industries-inc-reviews-SRCH_IL.0,7_IM52_KE8,26.htm
CNA FINANCIAL CORP,https://www.glassdoor.com/Reviews/atlanta-cna-financial-corp-reviews-SRCH_IL.0,7_IM52_KE8,26.htm
CSP INC,https://www.glassdoor.com/Reviews/atlanta-csp-inc-reviews-SRCH_IL.0,7_IM52_KE8,15.htm
CSX CORP,https://www.glassdoor.com/Reviews/atlanta-csx-corp-reviews-SRCH_IL.0,7_IM52_KE8,16.htm
CTS CORP,https://www.glassdoor.com/Reviews/atlanta-cts-corp-reviews-SRCH_IL.0,7_IM52_KE8,16.htm
CVD EQUIPMENT CORP,https://www.glassdoor.com/Reviews/atlanta-cvd-equipment-corp-reviews-SRCH_IL.0,7_IM52_KE8,26.htm
HEALTHTRONICS INC,https://www.glassdoor.com/Reviews/atlanta-healthtronics-inc-reviews-SRCH_IL.0,7_IM52_KE8,25.htm
CABOT CORP,https://www.glassdoor.com/Reviews/atlanta-cabot-corp-reviews-SRCH_IL.0,7_IM52_KE8,18.htm
CACHE INC,https://www.glassdoor.com/Reviews/atlanta-cache-inc-reviews-SRCH_IL.0,7_IM52_KE8,17.htm
CADBURY PLC,https://www.glassdoor.com/Reviews/atlanta-cadbury-plc-reviews-SRCH_IL.0,7_IM52_KE8,19.htm
CALAMP CORP,https://www.glassdoor.com/Overview/Working-at-CalAmp-EI_IE1219.11,17.htm
MUFG AMERICAS HOLDINGS CORP,https://www.glassdoor.com/Reviews/atlanta-mufg-americas-holdings-corp-reviews-SRCH_IL.0,7_IM52_KE8,35.htm
KONARED CORP,https://www.glassdoor.com/Reviews/atlanta-konared-corp-reviews-SRCH_IL.0,7_IM52_KE8,20.htm
CAMPBELL RESOURCES INC,https://www.glassdoor.com/Reviews/atlanta-campbell-resources-inc-reviews-SRCH_IL.0,7_IM52_KE8,30.htm
CAMPBELL SOUP CO,https://www.glassdoor.com/Reviews/atlanta-campbell-soup-co-reviews-SRCH_IL.0,7_IM52_KE8,24.htm
MAPLE LEAF FOODS INC,https://www.glassdoor.com/Reviews/atlanta-maple-leaf-foods-inc-reviews-SRCH_IL.0,7_IM52_KE8,28.htm
CANADIAN NATIONAL RAILWAY CO,https://www.glassdoor.com/Reviews/atlanta-canadian-national-railway-co-reviews-SRCH_IL.0,7_IM52_KE8,36.htm
NEXEN INC,https://www.glassdoor.com/Reviews/atlanta-nexen-inc-reviews-SRCH_IL.0,7_IM52_KE8,17.htm
CANADIAN PACIFIC RAILWAY LTD,https://www.glassdoor.com/Reviews/atlanta-canadian-pacific-railway-ltd-reviews-SRCH_IL.0,7_IM52_KE8,36.htm
CANADIAN TIRE CORP  -CL A,https://www.glassdoor.com/Reviews/atlanta-canadian-tire-corp-a-cl-reviews-SRCH_IL.0,7_IM52_KO8,28_KE29,31.htm
CONSTELLATION BRANDS,https://www.glassdoor.com/Overview/Working-at-Constellation-Brands-EI_IE805.11,31.htm
CANON INC,https://www.glassdoor.com/Reviews/atlanta-canon-inc-reviews-SRCH_IL.0,7_IM52_KE8,17.htm
CAPITAL PROPERTIES INC,https://www.glassdoor.com/Reviews/atlanta-capital-properties-inc-reviews-SRCH_IL.0,7_IM52_KE8,30.htm
CARDINAL HEALTH INC,https://www.glassdoor.com/Reviews/atlanta-cardinal-health-inc-reviews-SRCH_IL.0,7_IM52_KE8,27.htm
CARLISLE COS INC,https://www.glassdoor.com/Reviews/atlanta-carlisle-cos-inc-reviews-SRCH_IL.0,7_IM52_KE8,24.htm
PROGRESS ENERGY INC,https://www.glassdoor.com/Reviews/atlanta-progress-energy-inc-reviews-SRCH_IL.0,7_IM52_KE8,27.htm
CARPENTER TECHNOLOGY CORP,https://www.glassdoor.com/Reviews/atlanta-carpenter-technology-corp-reviews-SRCH_IL.0,7_IM52_KE8,33.htm
CARROLS CORP,https://www.glassdoor.com/Reviews/atlanta-carrols-corp-reviews-SRCH_IL.0,7_IM52_KE8,20.htm
CASCADE CORP,https://www.glassdoor.com/Reviews/atlanta-cascade-corp-reviews-SRCH_IL.0,7_IM52_KE8,20.htm
CASEYS GENERAL STORES INC,https://www.glassdoor.com/Reviews/atlanta-caseys-general-stores-inc-reviews-SRCH_IL.0,7_IM52_KE8,33.htm
CASTLE (A M) & CO,https://www.glassdoor.com/Overview/Working-at-Castle-Metals-EI_IE752.11,24.htm
DOLE FOOD CO INC,https://www.glassdoor.com/Reviews/atlanta-dole-food-co-inc-reviews-SRCH_IL.0,7_IM52_KE8,24.htm
CATERPILLAR INC,https://www.glassdoor.com/Reviews/atlanta-caterpillar-inc-reviews-SRCH_IL.0,7_IM52_KE8,23.htm
CAVCO INDUSTRIES INC,https://www.glassdoor.com/Reviews/atlanta-cavco-industries-inc-reviews-SRCH_IL.0,7_IM52_KE8,28.htm
R F INDUSTRIES LTD,https://www.glassdoor.com/Reviews/atlanta-rf-industries-ltd-reviews-SRCH_IL.0,7_IM52_KE8,25.htm
CENTEX CORP,https://www.glassdoor.com/Reviews/atlanta-centex-corp-reviews-SRCH_IL.0,7_IM52_KE8,19.htm
CH ENERGY GROUP INC,https://www.glassdoor.com/Reviews/atlanta-ch-energy-group-inc-reviews-SRCH_IL.0,7_IM52_KE8,27.htm
CLECO CORP,https://www.glassdoor.com/Reviews/atlanta-cleco-corp-reviews-SRCH_IL.0,7_IM52_KE8,18.htm
AEP TEXAS CENTRAL CO,https://www.glassdoor.com/Reviews/atlanta-aep-texas-central-co-reviews-SRCH_IL.0,7_IM52_KE8,28.htm
CENTRAL STEEL & WIRE CO,https://www.glassdoor.com/Reviews/atlanta-central-steel-wire-co-reviews-SRCH_IL.0,7_IM52_KE8,29.htm
CENTURYLINK INC,https://www.glassdoor.com/Reviews/atlanta-centurylink-inc-reviews-SRCH_IL.0,7_IM52_KE8,23.htm
CHAD THERAPEUTICS INC,https://www.glassdoor.com/Reviews/atlanta-chad-therapeutics-inc-reviews-SRCH_IL.0,7_IM52_KE8,29.htm
UNIFIED GROCERS INC,https://www.glassdoor.com/Reviews/atlanta-unified-grocers-inc-reviews-SRCH_IL.0,7_IM52_KE8,27.htm
CHAMPION ENTERPRISES INC,https://www.glassdoor.com/Reviews/atlanta-champion-enterprises-inc-reviews-SRCH_IL.0,7_IM52_KE8,32.htm
MAGELLAN HEALTH INC,https://www.glassdoor.com/Reviews/atlanta-magellan-health-inc-reviews-SRCH_IL.0,7_IM52_KE8,27.htm
CANTEL MEDICAL CORP,https://www.glassdoor.com/Reviews/atlanta-cantel-medical-corp-reviews-SRCH_IL.0,7_IM52_KE8,27.htm
CHATTEM INC,https://www.glassdoor.com/Reviews/atlanta-chattem-inc-reviews-SRCH_IL.0,7_IM52_KE8,19.htm
DELPHAX TECHNOLOGIES INC,https://www.glassdoor.com/Reviews/atlanta-delphax-technologies-inc-reviews-SRCH_IL.0,7_IM52_KE8,32.htm
CHECKPOINT SYSTEMS INC,https://www.glassdoor.com/Reviews/atlanta-checkpoint-systems-inc-reviews-SRCH_IL.0,7_IM52_KE8,30.htm
CHEMED CORP,https://www.glassdoor.com/Reviews/atlanta-chemed-corp-reviews-SRCH_IL.0,7_IM52_KE8,19.htm
JPMORGAN CHASE & CO,https://www.glassdoor.com/Reviews/atlanta-jpmorgan-chase-co-reviews-SRCH_IL.0,7_IM52_KE8,25.htm
CHESAPEAKE CORP,https://www.glassdoor.com/Reviews/atlanta-chesapeake-corp-reviews-SRCH_IL.0,7_IM52_KE8,23.htm
CHESAPEAKE UTILITIES CORP,https://www.glassdoor.com/Reviews/atlanta-chesapeake-utilities-corp-reviews-SRCH_IL.0,7_IM52_KE8,33.htm
CELSION CORP,https://www.glassdoor.com/Reviews/atlanta-celsion-corp-reviews-SRCH_IL.0,7_IM52_KE8,20.htm
CHEVRON CORP,https://www.glassdoor.com/Reviews/atlanta-chevron-corp-reviews-SRCH_IL.0,7_IM52_KE8,20.htm
CHICAGO RIVET & MACHINE CO,https://www.glassdoor.com/Reviews/atlanta-chicago-rivet-machine-co-reviews-SRCH_IL.0,7_IM52_KE8,32.htm
CHIEF CONSOLIDATED MINING CO,https://www.glassdoor.com/Reviews/atlanta-chief-consolidated-mining-co-reviews-SRCH_IL.0,7_IM52_KE8,36.htm
BRINKER INTL INC,https://www.glassdoor.com/Reviews/atlanta-brinker-intl-inc-reviews-SRCH_IL.0,7_IM52_KE8,24.htm
CHUBB CORP,https://www.glassdoor.com/Reviews/atlanta-chubb-corp-reviews-SRCH_IL.0,7_IM52_KE8,18.htm
CHURCH & DWIGHT INC,https://www.glassdoor.com/Reviews/atlanta-church-dwight-inc-reviews-SRCH_IL.0,7_IM52_KE8,25.htm
CHURCHILL DOWNS INC,https://www.glassdoor.com/Reviews/atlanta-churchill-downs-inc-reviews-SRCH_IL.0,7_IM52_KE8,27.htm
CHYRONHEGO CORP,https://www.glassdoor.com/Reviews/atlanta-chyronhego-corp-reviews-SRCH_IL.0,7_IM52_KE8,23.htm
CINCINNATI BELL INC,https://www.glassdoor.com/Reviews/atlanta-cincinnati-bell-inc-reviews-SRCH_IL.0,7_IM52_KE8,27.htm
DUKE ENERGY OHIO INC,https://www.glassdoor.com/Reviews/atlanta-duke-energy-ohio-inc-reviews-SRCH_IL.0,7_IM52_KE8,28.htm
MILACRON INC,https://www.glassdoor.com/Reviews/atlanta-milacron-inc-reviews-SRCH_IL.0,7_IM52_KE8,20.htm
CIPRICO INC,https://www.glassdoor.com/Reviews/atlanta-ciprico-inc-reviews-SRCH_IL.0,7_IM52_KE8,19.htm
CIRCUIT CITY STORES INC,https://www.glassdoor.com/Overview/Working-at-Circuit-City-EI_IE8231.11,23.htm
CIRCUIT RESEARCH LABS INC,https://www.glassdoor.com/Reviews/atlanta-circuit-research-labs-inc-reviews-SRCH_IL.0,7_IM52_KE8,33.htm
CINTAS CORP,https://www.glassdoor.com/Reviews/atlanta-cintas-corp-reviews-SRCH_IL.0,7_IM52_KE8,19.htm
CITIZENS REPUBLIC BANCORP,https://www.glassdoor.com/Reviews/atlanta-citizens-republic-bancorp-reviews-SRCH_IL.0,7_IM52_KE8,33.htm
CITY NATIONAL CORP,https://www.glassdoor.com/Reviews/atlanta-city-national-corp-reviews-SRCH_IL.0,7_IM52_KE8,26.htm
CLAIRES STORES INC,https://www.glassdoor.com/Reviews/atlanta-claires-stores-inc-reviews-SRCH_IL.0,7_IM52_KE8,26.htm
CLARCOR INC,https://www.glassdoor.com/Reviews/atlanta-clarcor-inc-reviews-SRCH_IL.0,7_IM52_KE8,19.htm
