Company Name,Glassdoor URL
APPLE INC,https://www.glassdoor.com/Reviews/atlanta-apple-inc-reviews-SRCH_IL.0,7_IM52_KE8,17.htm
APPLIED MATERIALS INC,https://www.glassdoor.com/Reviews/atlanta-applied-materials-inc-reviews-SRCH_IL.0,7_IM52_KE8,29.htm
SINO SHIPPING HOLDINGS INC,https://www.glassdoor.com/Reviews/atlanta-sino-shipping-holdings-inc-reviews-SRCH_IL.0,7_IM52_KE8,34.htm
TRECORA RESOURCES,https://www.glassdoor.com/Reviews/atlanta-trecora-resources-reviews-SRCH_IL.0,7_IM52_KE8,25.htm
ARBOR MEMORIAL SERVICES INC,https://www.glassdoor.com/Reviews/atlanta-arbor-memorial-services-inc-reviews-SRCH_IL.0,7_IM52_KE8,35.htm
ARCHER-DANIELS-MIDLAND CO,https://www.glassdoor.com/Reviews/atlanta-archer-daniels-midland-co-reviews-SRCH_IL.0,7_IM52_KE8,33.htm
ARIZONA PUBLIC SERVICE CO,https://www.glassdoor.com/Reviews/atlanta-arizona-public-service-co-reviews-SRCH_IL.0,7_IM52_KE8,33.htm
ARCBEST CORP,https://www.glassdoor.com/Reviews/atlanta-arcbest-corp-reviews-SRCH_IL.0,7_IM52_KE8,20.htm
ENTERGY ARKANSAS,https://www.glassdoor.com/Reviews/atlanta-entergy-arkansas-reviews-SRCH_IL.0,7_IM52_KE8,24.htm
ARROW ELECTRONICS INC,https://www.glassdoor.com/Overview/Working-at-Arrow-Electronics-EI_IE56.11,28.htm
ASBESTOS CORP LTD,https://www.glassdoor.com/Reviews/atlanta-asbestos-corp-ltd-reviews-SRCH_IL.0,7_IM52_KE8,25.htm
ASTRONOVA INC,https://www.glassdoor.com/Overview/Working-at-AstroNova-EI_IE1147.11,20.htm
ASTRONICS CORP,https://www.glassdoor.com/Reviews/atlanta-astronics-corp-reviews-SRCH_IL.0,7_IM52_KE8,22.htm
SOUTHERN CO GAS,https://www.glassdoor.com/Reviews/atlanta-southern-co-gas-reviews-SRCH_IL.0,7_IM52_KE8,23.htm
ATWOOD OCEANICS,https://www.glassdoor.com/Reviews/atlanta-atwood-oceanics-reviews-SRCH_IL.0,7_IM52_KE8,23.htm
REX AMERICAN RESOURCES CORP,https://www.glassdoor.com/Reviews/atlanta-rex-american-resources-corp-reviews-SRCH_IL.0,7_IM52_KE8,35.htm
ASSURANCEAMERICA CORP,https://www.glassdoor.com/Reviews/atlanta-assuranceamerica-corp-reviews-SRCH_IL.0,7_IM52_KE8,29.htm
